pickupOwnerFirstName,pickupOwnerLastName,pickupOwnerStreet,pickupOwnerCity,pickupOwnerState,pickupOwnerPostal,pickupOwnerCountry,pickupOwnerEmail,pickupOwnerPhone,pickupLatitude,pickupLongitude,pickupCategories,pickupAt,pickupTimeZoneId,recipientOwnerFirstName,recipientOwnerLastName,recipientOwnerStreet,recipientOwnerCity,recipientOwnerState,recipientOwnerPostal,recipientOwnerCountry,recipientOwnerEmail,recipientOwnerPhone,recipientLatitude,recipientLongitude,recipientRestrictions,recipientSunday,recipientMonday,recipientTuesday,recipientWednesday,recipientThursday,recipientFriday,recipientSaturday
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Buddy,Rossi,1686 Locust View Drive,San Francisco,CA,94143,US,BuddyBRossi@fleckens.hu,415-908-6795,37.703638,-122.426141,0,47627,26884,48776,18254,9761,47322,55649
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Walter,Osborne,3376 Larry Street,San Francisco,CA,94107,US,WalterSOsborne@dayrep.com,415-226-7893,37.805788,-122.403222,0,36024,48588,50997,29719,36505,24883,33194
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Wilma,Parker,4737 Wolf Pen Road,San Francisco,CA,94107,US,WilmaLParker@superrito.com,650-426-3556,37.776092,-122.373067,0,36971,44747,58771,3085,36492,40968,21843
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Benjamin,Hunter,2265 Station Street,San Francisco,CA,94104,US,BenjaminPHunter@einrot.com,510-921-8576,37.865995,-122.370278,0,28738,44791,28787,11267,42759,52418,2489
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Lou,Rose,2923 Jim Rosa Lane,San Francisco,CA,94112,US,LouRRose@armyspy.com,415-841-5259,37.659933,-122.498791,0,56714,50299,7702,5671,38533,32109,38899
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Basil,Mendez,611 Forest Avenue,San Francisco,CA,94143,US,BasilMMendez@armyspy.com,650-202-2768,37.747288,-122.421049,2,20665,46421,5094,62704,15495,45761,28300
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Edwin,Ingram,3086 Jim Rosa Lane,San Francisco,CA,94108,US,EdwinVIngram@teleworm.us,415-834-3217,37.699471,-122.474117,3,63057,15276,11938,21824,19664,62825,1396
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Reggie,Hunter,3041 Boring Lane,San Francisco,CA,94107,US,ReggieTHunter@einrot.com,415-737-1680,37.815249,-122.366953,4,42902,22549,13450,58322,56688,23777,30538
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Amy,Doyle,4916 Duck Creek Road,San Francisco,CA,94108,US,AmyJDoyle@superrito.com,650-862-7394,37.777973,-122.396762,4,25807,3165,34551,21607,34771,61855,45188
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Tanya,Matthews,1780 Black Oak Hollow Road,San Francisco,CA,94107,US,TanyaKMatthews@teleworm.us,408-702-0996,37.809052,-122.483365,7,44536,44382,19514,12035,18094,41561,55924
